edge_id	executable	legacy_source	kind	legacy_targets	legacy_continuation	operation	native_function	native_test_or_fixture	status	prerequisites
edge-0001	local.exe	LOCAL:0030	nonreturning-loader-call	second-stage:0090:0000,LOCAL:003A		9a00009000 call 0x90:0x0	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0002	local.exe	LOCAL:008D	conditional	LOCAL:0092	LOCAL:008F	7403 jz 0x92	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0003	local.exe	LOCAL:008F	jump	LOCAL:009F		e90d00 jmp 0x9f	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0004	local.exe	LOCAL:009C	jump	LOCAL:0130		e99100 jmp 0x130	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0005	local.exe	LOCAL:00CA	conditional	LOCAL:00CF	LOCAL:00CC	7503 jnz 0xcf	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0006	local.exe	LOCAL:00CC	jump	LOCAL:0130		e96100 jmp 0x130	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0007	local.exe	LOCAL:012E	jump	LOCAL:00C0		eb90 jmp short 0xc0	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0008	local.exe	LOCAL:0149	conditional	LOCAL:014E	LOCAL:014B	7403 jz 0x14e	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0009	local.exe	LOCAL:014B	jump	LOCAL:037A		e92c02 jmp 0x37a	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0010	local.exe	LOCAL:0165	conditional	LOCAL:0168	LOCAL:0167	7501 jnz 0x168	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0011	local.exe	LOCAL:0172	conditional	LOCAL:0175	LOCAL:0174	7501 jnz 0x175	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0012	local.exe	LOCAL:0179	conditional	LOCAL:017E	LOCAL:017B	7503 jnz 0x17e	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0013	local.exe	LOCAL:017B	jump	LOCAL:02FE		e98001 jmp 0x2fe	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0014	local.exe	LOCAL:018D	jump	LOCAL:021F		e98f00 jmp 0x21f	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0015	local.exe	LOCAL:01A6	conditional	LOCAL:01AB	LOCAL:01A8	7503 jnz 0x1ab	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0016	local.exe	LOCAL:01A8	jump	LOCAL:0232		e98700 jmp 0x232	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0017	local.exe	LOCAL:01E0	conditional	LOCAL:01E5	LOCAL:01E2	7403 jz 0x1e5	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0018	local.exe	LOCAL:01E2	jump	LOCAL:0216		e93100 jmp 0x216	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0019	local.exe	LOCAL:01FD	conditional	LOCAL:0202	LOCAL:01FF	7403 jz 0x202	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0020	local.exe	LOCAL:01FF	jump	LOCAL:0204		e90200 jmp 0x204	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0021	local.exe	LOCAL:0202	jump	LOCAL:01F2		ebee jmp short 0x1f2	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0022	local.exe	LOCAL:022D	conditional	LOCAL:0232	LOCAL:022F	7703 ja 0x232	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0023	local.exe	LOCAL:022F	jump	LOCAL:0190		e95eff jmp 0x190	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0024	local.exe	LOCAL:0253	conditional	LOCAL:0258	LOCAL:0255	7703 ja 0x258	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0025	local.exe	LOCAL:0255	jump	LOCAL:0264		e90c00 jmp 0x264	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0026	local.exe	LOCAL:0285	conditional	LOCAL:028A	LOCAL:0287	7403 jz 0x28a	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0027	local.exe	LOCAL:0287	jump	LOCAL:02A2		e91800 jmp 0x2a2	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0028	local.exe	LOCAL:029F	process-terminal			3E:01 END	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0029	local.exe	LOCAL:02AE	conditional	LOCAL:02B1	LOCAL:02B0	7501 jnz 0x2b1	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0030	local.exe	LOCAL:02BC	conditional	LOCAL:02BF	LOCAL:02BE	7601 jna 0x2bf	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0031	local.exe	LOCAL:02CA	conditional	LOCAL:02CD	LOCAL:02CC	7401 jz 0x2cd	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0032	local.exe	LOCAL:02D8	conditional	LOCAL:02DB	LOCAL:02DA	7401 jz 0x2db	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0033	local.exe	LOCAL:02DF	conditional	LOCAL:02E4	LOCAL:02E1	7503 jnz 0x2e4	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0034	local.exe	LOCAL:02E1	jump	LOCAL:02EC		e90800 jmp 0x2ec	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0035	local.exe	LOCAL:02FB	jump	LOCAL:0345		e94700 jmp 0x345	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0036	local.exe	LOCAL:030A	conditional	LOCAL:030D	LOCAL:030C	7601 jna 0x30d	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0037	local.exe	LOCAL:0318	conditional	LOCAL:031B	LOCAL:031A	7501 jnz 0x31b	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0038	local.exe	LOCAL:031F	conditional	LOCAL:0324	LOCAL:0321	7503 jnz 0x324	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0039	local.exe	LOCAL:0321	jump	LOCAL:032D		e90900 jmp 0x32d	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0040	local.exe	LOCAL:032A	jump	LOCAL:033C		e90f00 jmp 0x33c	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0041	local.exe	LOCAL:034E	conditional	LOCAL:0351	LOCAL:0350	7601 jna 0x351	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0042	local.exe	LOCAL:035A	conditional	LOCAL:035D	LOCAL:035C	7701 ja 0x35d	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0043	local.exe	LOCAL:0361	conditional	LOCAL:0366	LOCAL:0363	7503 jnz 0x366	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0044	local.exe	LOCAL:0363	jump	LOCAL:0377		e91100 jmp 0x377	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0045	local.exe	LOCAL:0377	jump	LOCAL:0140		e9c6fd jmp 0x140	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0046	local.exe	LOCAL:038D	conditional	LOCAL:0392	LOCAL:038F	7403 jz 0x392	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0047	local.exe	LOCAL:038F	jump	LOCAL:03A8		e91600 jmp 0x3a8	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0048	local.exe	LOCAL:03A6	jump	LOCAL:037A		ebd2 jmp short 0x37a	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0049	local.exe	LOCAL:03BB	conditional	LOCAL:03C0	LOCAL:03BD	7403 jz 0x3c0	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0050	local.exe	LOCAL:03BD	jump	LOCAL:03D6		e91600 jmp 0x3d6	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0051	local.exe	LOCAL:03D4	jump	LOCAL:03A8		ebd2 jmp short 0x3a8	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0052	local.exe	LOCAL:03E3	conditional	LOCAL:03E8	LOCAL:03E5	7503 jnz 0x3e8	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0053	local.exe	LOCAL:03E5	jump	LOCAL:0430		e94800 jmp 0x430	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0054	local.exe	LOCAL:042E	jump	LOCAL:03D6		eba6 jmp short 0x3d6	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0055	local.exe	LOCAL:0445	jump	LOCAL:04AA		e96200 jmp 0x4aa	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0056	local.exe	LOCAL:046E	conditional	LOCAL:0471	LOCAL:0470	7201 jc 0x471	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0057	local.exe	LOCAL:047D	conditional	LOCAL:0480	LOCAL:047F	7701 ja 0x480	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0058	local.exe	LOCAL:0485	conditional	LOCAL:048A	LOCAL:0487	7503 jnz 0x48a	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0059	local.exe	LOCAL:0487	jump	LOCAL:04A1		e91700 jmp 0x4a1	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
