component	audience	legacy_site_count	analysis_status	analysis_scope	analysis_evidence	native_function	native_test_or_fixture	status	prerequisites
shared-general-numeric-formatting	player/operator/generated text	224	exact_component_oracle	INTEGER, MBF32, and MBF64 STR$ spelling plus the shared ordinary PRINT numeric body/semicolon/newline disposition	docs/runtime/qb-numeric-formatting.md; tools/qb_numeric.py; tests/test_qb_numeric.py; analysis/disassembly/qb-numeric.static.txt	src/qb_format.c::{qb_str_*,qb_print_*}	tests/test_qb.c	candidate	add exact deterministic native component fixture, state/effect, caller-edge and failure-prefix fixtures
shared-action-finalizer-output	player	4	exact_component_oracle	YT:[A6E3,A8D2): exact shared action finalizer and fresh-player no-turn gate, including cloak cadence/output, turn debit and line, RNG/Xannor handoff, endpoint state, and ordered failure boundaries	docs/runtime/action-finalizer-output.md; tools/ytaction_finalizer_output.py; analysis/disassembly/ytaction-finalizer-output.static.txt	src/yt_session.c::{finalize_action,fresh_no_turn_gate,spy_sweep,reload_player,launch_xannor_retaliation,session_031f,session_02fc,session_02db,session_attention,session_present_text}; src/yt_game.c::yt_no_turn_gate_denied	tests/test_presentation.c::{test_action_finalizer_presentation,test_direct_emergency_warp_presentation}; tests/test_score.c::check_hostile_menu_front	candidate	strict no-turn body, positive-cloak no-newline/two-blank framing, strict-<51 style, B05D turn row and raw turn/cloak FIELD staging are represented; add deterministic complete raw store/cache/RNG/Xannor/spy, expired-cloak, pager/carrier and every failure-prefix fixture
main-projectile-launch-output	player	6	exact_component_oracle	YT:[2059,2341): exact missile/plasma launcher parent, including entry display snapshot versus fresh ammo values, dual completed-A41C prompt snapshots, target retry and quantity validation, accepted A6E3/debit/PUT order, raw FIELD/latch/cache/RNG and by-reference state adapters, typed projectile/counterlaunch/Xannor children, fatal versus YT:161D continuation, and one ordinary active-main '+' dispatch and raw plasma-child composition through YT:161D, its canonical raw-storage scanner, return A41C, fresh prompt, and one AB36 poll	docs/runtime/main-projectile-launch-output.md; docs/runtime/main-plasma-cycle-output.md; docs/gameplay/main-commands.md; tools/ytmain_projectile_output.py; tools/ytmain_plasma_launch_output.py; tools/ytmain_plasma_cycle_output.py; tests/test_ytmain_projectile_output.py; tests/test_ytmain_plasma_launch_output.py; tests/test_ytmain_plasma_cycle_output.py; analysis/disassembly/ytmain-projectile-output.static.txt	src/yt_session.c::{command_projectile,launch_projectile}; src/yt_game.c::{yt_projectile_target_prompt,yt_projectile_target_response,yt_projectile_quantity_response}	tests/test_score.c::check_projectile_parent_model; tests/test_presentation.c::{test_projectile_parent_presentation,test_projectile_refusal_presentation}	candidate	exact missile/plasma prompts, entry-display snapshot, target cancel/retry/fractional admission, quantity floor/cancel, no-ammunition, invalid-target retry, excessive-quantity bytes, and parent output framing are represented; add complete dual-hydration/FIELD/cache/effect/finalizer/debit/PUT/child-result fixture, active-shell joins and every failure prefix
main-missile-fatal-cycle-output	player	0	exact_component_oracle	exact main-command missile launch composition with one natural outgoing-cruise/player-counterlaunch/return-cruise destruction object graph, plus exact independently supplied child-result adapters, exponent-only DS:18B4 test at YT:[232E,233E), YT:233B -> YT:06C4 handoff, and complete common fatal/death/wait/normal-exit cycle, preserving ordered output, FIELD, persistent/news state, pager, RNG, wait, and terminal effects	docs/runtime/main-missile-fatal-cycle-output.md; tools/ytmain_missile_fatal_cycle_output.py; tests/test_ytmain_missile_fatal_cycle_output.py; analysis/disassembly/ytmain-missile-fatal-cycle-output.static.txt	src/yt_session.c::{command_projectile,launch_player_counterattack,launch_xannor_retaliation,common_fatal_self,kill_player,session_wait,command_shell,yt_session_run,quit_session}; src/yt_game.c::{yt_counterlaunch_score_count,yt_counterlaunch_debit_overlay,yt_counterlaunch_rows}; src/qb.c::qb_mbf32_truth	tests/test_presentation.c::{test_projectile_parent_presentation,test_counterlaunch_presentation,test_common_fatal_notice,test_normal_exit_tail_presentation}; tests/test_input_model.c::test_timed_wait; tests/test_qb.c::test_mbf32; tests/test_score.c::check_projectile_parent_model	candidate	exponent-byte truth, score/debit boundary, binary-safe counterlaunch rows/news, post-wrapper fatal dispatch and existing fatal-row/wait/exit child components are represented; upstream 1248add9 makes 1,875-byte/ae296b... plain and 2,057-byte/1e3eb9... ANSI witnesses authoritative; add the complete authoritative outgoing/return cruise FIELD/store/news/RNG/cache/by-reference state, exact binary child actor identity, common self-death state, every child failure cut and local framebuffer endpoint
main-missile-cycle-output	player	0	exact_component_oracle	exact nonfatal main-command missile cycle from active YT:1659 prompt and ')' dispatch through one natural no-impact cruise, plus connected nonfatal Xannor/Mercenary defended-sector return fixtures, zero-effect YT:233E -> YT:161D continuation, mandatory mode-zero current-sector scanner, fresh YT:1659 prompt, and one AB36 poll; preserves authoritative raw projectile world, scanner terminal FIELD, pager, cache, scratch, persistence, and continuous RNG state through explicit typed adapters	docs/runtime/main-missile-cycle-output.md; tools/ytmain_missile_cycle_output.py; tests/test_ytmain_missile_cycle_output.py; tests/test_ytmain_missile_launch_output.py; analysis/disassembly/ytmain-missile-cycle-output.static.txt	src/yt_session.c::{command_shell,command_projectile,launch_projectile,projectile_opening,display_sector,display_sector_one,reload_player,session_031f,session_036f,session_present_text}; src/yt_game.c::{yt_projectile_target_prompt,yt_projectile_target_response,yt_projectile_quantity_response}	tests/test_presentation.c::test_projectile_ordinary_cycle_presentation; tests/test_score.c::check_projectile_parent_model	candidate	exact natural 331-byte plain and 351-byte ANSI cycle through the mandatory scanner and fresh prompt is represented; add authoritative raw dual-hydration/FIELD/store/cache/RNG/by-reference state/effect fixture, physical local framebuffer, nonempty impact/wrapper successors, AB36 endpoint variants and every failure prefix
ordinary-movement-output	player	4	exact_component_oracle	YT:[1ADF,1CFD): exact ordinary-movement parent, including fresh no-turn gating, physical warp-list construction, destination editor/repeat and validation paths, danger confirmation, accepted finalizer/player PUT/cache order, raw FIELD/latch/cache/RNG adapters, and YT:1659 versus YT:081F continuations	docs/runtime/main-movement-output.md; docs/gameplay/command-shell.md; tools/ytmain_movement_output.py; tests/test_ytmain_movement_output.py; analysis/disassembly/ytmain-movement-output.static.txt	src/yt_session.c::{planet_menu,command_move,fresh_no_turn_gate,dangerous_destination,finalize_action,reload_player,session_0317,session_031f,session_036f,session_02db,session_a8d2,session_present_text}; src/yt_game.c::{yt_movement_warp_row,yt_movement_confirmation_prompt,yt_movement_player_overlay,yt_planet_menu_selector_position}	tests/test_score.c::check_movement_model; tests/test_presentation.c::{test_movement_presentation,test_planet_movement_accepted_cycle_presentation}; tests/test_input_model.c::{test_numeric_response,test_yes_no_candidate}; upstream tests/test_ytmain_movement_output.py (24 cases)	candidate	exact warp-row physical order/zero skipping/SINGLE spelling, destination prompt and whole-response M repeat, same-sector/not-adjacent rows, danger confirmation prompt, raw sector-only fresh-player overlay and canonical safe-parent stream and exact 264/244-byte ANSI/plain accepted planet-predecessor cycles are represented with four partitions, 14 local rows, complete color/terminal state and one finalizer draw; add complete injected turn-gate/danger/finalizer/FIELD/cache/RNG/queue transaction, every refusal/retry/terminal stream, ANSI/local endpoints and every failure prefix
main-movement-cycle-output	player	0	exact_component_oracle	exact active-main command-M cycle from YT:1659 A41C, prompt, editor, and first-byte dispatch through YT:[1ADF,1CFD); ordinary direct-YT:1659 outcomes continue through an independent return A41C, fresh prompt, and one AB36 poll, while accepted movement continues through exactly one YT:[081F,09C9) gameplay-reentry scanner/router pass to its typed hazard, hostile, error, terminal, or first-main-poll boundary, preserving independent shell/gate/router/return A41C state, route-sensitive FIELD/cache residue, separated shared scratch roles, and joined finalizer/scanner draw identities	docs/runtime/main-movement-cycle-output.md; tools/ytmain_movement_cycle_output.py; tests/test_ytmain_movement_cycle_output.py; analysis/disassembly/ytmain-movement-cycle-output.static.txt	src/yt_session.c::{planet_menu,command_shell,command_move,sector_entry,display_sector,reload_player,fresh_no_turn_gate,dangerous_destination,finalize_action,session_0317,session_031f,session_036f,session_02db,session_a8d2,session_present_text}; src/yt_game.c::{yt_movement_warp_row,yt_movement_confirmation_prompt,yt_movement_player_overlay,yt_sector_is_black_hole,yt_sector_mines_admitted,yt_sector_force_route,yt_planet_menu_selector_position}	tests/test_presentation.c::{test_movement_presentation,test_planet_movement_accepted_cycle_presentation,test_gameplay_reentry_hostile_warning}; tests/test_score.c::{check_movement_model,check_sector_force_routes}; tests/test_input_model.c; upstream tests/test_ytmain_movement_cycle_output.py (15 cases)	candidate	main M dispatch now distinguishes direct-return outcomes from actual movement, accepted movement enters exactly one existing sector-entry router pass, and command-shell loop-top hydration is the sole following prompt snapshot; the zero-adapter planet predecessor is independently pinned as exact 264/244-byte ANSI/plain accepted cycles with four partitions, 14 local rows, complete color/terminal state and one finalizer draw; add an exact native 205/235-byte joined cycle, raw independent shell/gate/router/return FIELD/cache/RNG state, all typed hazard/hostile/terminal joins, local framebuffer and every failure prefix
main-attack-cycle-output	player	0	exact_component_oracle	exact bounded active-main command-A composition from YT:1659 A41C, prompt/editor and first-byte dispatch through YT:[292A,2F83), with independent raw target/current reads, ordered dirty/durable FIELD overlays, radio and opaque RNG terminal adapters, direct YT:1659 fresh-prompt continuations, one candidate-exhaustion YT:[081F,09C9) scanner/router pass, one optional admitted black-hole/nonfatal-mine continuation without scanner replay, optional mine emergency warp, and one following re-entry pass with retained exact admitted-sector/process context and exact child RNG partitions, and the existing fighter-kill/common-fatal child when reached	docs/runtime/main-attack-cycle-output.md; docs/runtime/main-attack-hazard-cycle-output.md; docs/runtime/direct-player-attack-output.md; docs/runtime/gameplay-loop-reentry-output.md; docs/runtime/gameplay-hazard-cycle-output.md; tools/ytmain_attack_cycle_output.py; tools/ytmain_attack_hazard_cycle_output.py; tools/ytgameplay_reentry_output.py; tools/ytgameplay_hazard_cycle_output.py; compose_main_emergency_hazard_join; tests/test_ytmain_attack_cycle_output.py; tests/test_ytmain_attack_hazard_cycle_output.py; tests/test_ytgameplay_hazard_cycle_output.py; analysis/disassembly/ytmain-attack-cycle-output.static.txt; analysis/disassembly/ytmain-attack-hazard-cycle-output.static.txt	src/yt_session.c::{command_shell,command_attack_player,attack_player,combat_attrition,fighter_shield_spill,sector_entry,mine_encounter,emergency_warp,common_fatal_self,reload_player,session_0317,session_031f,session_036f,session_02db,session_02fc,session_a8d2,session_present_text}; src/yt_game.c::{yt_direct_attack_team_row,yt_direct_attack_candidate_prompt,yt_direct_attack_commitment_prompt,yt_direct_attack_too_many_row,yt_direct_attack_result_rows,yt_direct_attack_radio_text,yt_direct_attack_fighter_overlay,yt_direct_attack_shield_overlay,yt_fighter_shield_spill_step,yt_fighter_shield_spill_rows}	tests/test_score.c::{check_direct_attack_radio_model,check_hostile_menu_front}; tests/test_presentation.c::test_direct_attack_presentation; tests/test_input_model.c::{test_numeric_response,test_yes_no_candidate}; upstream tests/test_ytmain_attack_cycle_output.py and tests/test_ytmain_attack_hazard_cycle_output.py (34 cases)	candidate	active A dispatch now distinguishes direct returns from candidate-exhaustion sector reentry and composes the existing fighter-kill/fatal and bounded hazard router children; add exact native 327/370-byte active-cycle and 564/768, 309/433, 658/908 hazard joins, independent raw A41C/FIELD/cache/RNG/radio state, local framebuffer and every failure prefix
active-spy-sweep-output	player	30	exact_component_oracle	YT-SUB2:[1D3A,257D): exact active-spy scan/report/pause/move engine, including the private 24A5 finding-header helper, cached-player cloak draw order and mutation, direct row bytes, sound, ordered record access and updater call/PUT identity, the adjacent drain/press-helper composition, warp draws, process state residue, and bounded failures/nontermination	docs/runtime/active-spy-sweep-output.md; docs/gameplay/spies.md; tools/ytspy_sweep_output.py; tests/test_ytspy_sweep_output.py; analysis/disassembly/ytspy-sweep-output.static.txt	src/yt_game.c::{yt_spy_sweep_run,spy_first_finding,yt_sector_mine_warning_row,yt_sector_planet_row,yt_sector_player_row,yt_sector_fighter_row}; src/yt_session.c::{spy_sweep,spy_present,spy_pause}	tests/test_score.c::check_spy_sweep_transaction; tests/test_presentation.c::test_spy_sweep_presentation	candidate	exact 363-byte plain and 553-byte ANSI representative transcripts, state/RNG/I-O ledger, 30 provider failure prefixes, and zero/no-finding/hidden/stale/disruption/two-snapshot branches represented; add physical partial-I-O, raw heap and all-zero nontermination fixtures
shared-player-death-output	player	15	exact_component_oracle	YT-SUB:[2993,2DDA): exact raw victim/cache clears, ordered sector/team/port FIELD mutations, direct title row, killer credit, kill/port newspaper transactions, endpoint state, and bounded failure prefixes; includes the successful shared YT-SUB:[1A9B,1AD3) one-line news append	docs/runtime/player-death-output.md; docs/gameplay/player-combat.md; tools/ytdeath_output.py; tools/ytdeath_world.py; tests/test_ytdeath_output.py; tests/test_ytdeath_world.py; analysis/disassembly/ytdeath-output.static.txt	src/yt_session.c::{kill_player,team_remove_player}	(missing exact native component fixture)	candidate	add exact deterministic native component fixture, state/effect, caller-edge and failure-prefix fixtures
